plantilla;tipo;fec_inicio;hra_inicio;monto_desde;monto_hasta;plazo_desde;plazo_hasta;valor
FGPWGRUPO3$;P;2025-02-20;000001;0;5500000;25;36;9.2000
FGPWGRUPO8$;P;2025-02-20;000001;80000001;198000000;37;99999;16.1000
FGPWGRUPO8$;P;2025-02-20;000001;5500001;20000000;37;99999;16.1000
FGPWGRUPO3$;P;2025-02-20;000001;198000001;500000000;25;36;5.0000
FGPWGRUPO5$;P;2025-02-20;000001;198000001;500000000;25;36;5.0000
FGPWGRUPO1$;P;2025-02-20;100621;80000001;198000000;37;99999;8.9000
FGPWGRUPO8$;P;2025-02-20;000001;20000001;40000000;37;99999;16.1000
FGPWGRUPO8$;P;2025-02-20;000001;80000001;198000000;0;24;16.7000
FGPWGRUPO3$;P;2025-02-20;000001;5500001;20000000;25;36;9.2000
FGPWGRUPO2$;P;2025-02-20;000001;5500001;20000000;25;36;9.1000
DSCTFGPG2$W;%;2025-02-20;000001;80000001;198000000;0;99999;10.0000
FGPWGRUPO1$;P;2025-02-20;100621;5500001;20000000;0;24;9.5000
FGPWGRUPO8$;P;2025-02-20;000001;40000001;80000000;0;24;16.7000
FGPWGRUPO7$;P;2025-02-20;000001;5500001;20000000;37;99999;13.1000
FGPWGRUPO5$;P;2025-02-20;000001;0;5500000;37;99999;10.0000
FGPWGRUPO7$;P;2025-02-20;000001;40000001;80000000;37;99999;13.1000
DSCTFGPG6$W;%;2025-02-20;000001;20000001;40000000;0;99999;5.0000
FGPWGRUPO1$;P;2025-02-20;100621;0;5500000;0;24;9.5000
FGPWGRUPO8$;P;2025-02-20;000001;500000001;99999999999;0;24;5.0000
FGPWGRUPO5$;P;2025-02-20;000001;20000001;40000000;0;24;10.6000
FGPWGRUPO5$;P;2025-02-20;000001;20000001;40000000;25;36;10.1000
FGPWGRUPO5$;P;2025-02-20;000001;5500001;20000000;0;24;10.6000
FGPWGRUPO7$;P;2025-02-20;000001;0;5500000;37;99999;13.1000
FGPWGRUPO4$;P;2025-02-20;000001;40000001;80000000;0;24;10.5000
FGPWGRUPO6$;P;2025-02-20;000001;198000001;500000000;37;99999;5.0000
FGPWGRUPO6$;P;2025-02-20;000001;5500001;20000000;0;24;11.2000
FGPWGRUPO7$;P;2025-02-20;000001;5500001;20000000;0;24;13.7000
FGPWGRUPO1$;P;2025-02-20;100621;40000001;80000000;25;36;9.0000
FGPWGRUPO6$;P;2025-02-20;000001;20000001;40000000;37;99999;10.6000
FGPWGRUPO2$;P;2025-02-20;000001;80000001;198000000;37;99999;9.0000
FGPWGRUPO7$;P;2025-02-20;000001;500000001;99999999999;0;24;5.0000
FGPWGRUPO4$;P;2025-02-20;000001;0;5500000;25;36;10.0000
FGPWGRUPO4$;P;2025-02-20;000001;20000001;40000000;37;99999;9.9000
FGPWGRUPO5$;P;2025-02-20;000001;5500001;20000000;37;99999;10.0000
FGPWGRUPO4$;P;2025-02-20;000001;500000001;99999999999;25;36;5.0000
DSCTFGPG7$W;%;2025-02-20;000001;80000001;198000000;0;99999;5.0000
FGPWGRUPO8$;P;2025-02-20;000001;5500001;20000000;25;36;16.2000
FGPWGRUPO2$;P;2025-02-20;000001;20000001;40000000;25;36;9.1000
FGPWGRUPO5$;P;2025-02-20;000001;198000001;500000000;37;99999;5.0000
DSCTFGPG8$W;%;2025-02-20;000001;40000001;80000000;0;99999;5.0000
FGPWGRUPO7$;P;2025-02-20;000001;80000001;198000000;37;99999;13.1000
FGPWGRUPO3$;P;2025-02-20;000001;198000001;500000000;0;24;5.0000
FGPWGRUPO4$;P;2025-02-20;000001;198000001;500000000;0;24;5.0000
DSCTFGPG4$W;%;2025-02-20;000001;198000001;99999999999;0;99999;3.0000
FGPWGRUPO3$;P;2025-02-20;000001;500000001;99999999999;0;24;5.0000
FGPWGRUPO6$;P;2025-02-20;000001;500000001;99999999999;25;36;5.0000
FGPWGRUPO8$;P;2025-02-20;000001;198000001;500000000;37;99999;5.0000
DSCTFGPG7$W;%;2025-02-20;000001;198000001;99999999999;0;99999;3.0000
FGPWGRUPO2$;P;2025-02-20;000001;40000001;80000000;37;99999;9.0000
FGPWGRUPO8$;P;2025-02-20;000001;5500001;20000000;0;24;16.7000
FGPWGRUPO2$;P;2025-02-20;000001;80000001;198000000;0;24;9.6000
FGPWGRUPO6$;P;2025-02-20;000001;0;5500000;37;99999;10.6000
FGPWGRUPO3$;P;2025-02-20;000001;40000001;80000000;25;36;9.2000
FGPWGRUPO2$;P;2025-02-20;000001;198000001;500000000;0;24;5.0000
FGPWGRUPO7$;P;2025-02-20;000001;500000001;99999999999;37;99999;5.0000
FGPWGRUPO6$;P;2025-02-20;000001;500000001;99999999999;37;99999;5.0000
FGPWGRUPO8$;P;2025-02-20;000001;500000001;99999999999;37;99999;5.0000
FGPWGRUPO3$;P;2025-02-20;000001;0;5500000;37;99999;9.1000
FGPWGRUPO1$;P;2025-02-20;100621;5500001;20000000;37;99999;8.9000
FGPWGRUPO3$;P;2025-02-20;000001;80000001;198000000;0;24;9.7000
DSCTFGPG1$W;%;2025-02-20;000001;20000001;40000000;0;99999;10.0000
FGPWGRUPO7$;P;2025-02-20;000001;0;5500000;0;24;13.7000
FGPWGRUPO4$;P;2025-02-20;000001;80000001;198000000;37;99999;9.9000
DSCTFGPG6$W;%;2025-02-20;000001;40000001;80000000;0;99999;5.0000
FGPWGRUPO3$;P;2025-02-20;000001;198000001;500000000;37;99999;5.0000
DSCTFGPG3$W;%;2025-02-20;000001;198000001;99999999999;0;99999;3.0000
DSCTFGPG2$W;%;2025-02-20;000001;198000001;99999999999;0;99999;3.0000
FGPWGRUPO6$;P;2025-02-20;000001;0;5500000;0;24;11.2000
DSCTFGPG2$W;%;2025-02-20;000001;5500001;20000000;0;99999;10.0000
FGPWGRUPO1$;P;2025-02-20;100621;80000001;198000000;25;36;9.0000
FGPWGRUPO6$;P;2025-02-20;000001;198000001;500000000;0;24;5.0000
FGPWGRUPO2$;P;2025-02-20;000001;198000001;500000000;25;36;5.0000
FGPWGRUPO1$;P;2025-02-20;100621;0;5500000;25;36;9.0000
FGPWGRUPO2$;P;2025-02-20;000001;20000001;40000000;37;99999;9.0000
DSCTFGPG5$W;%;2025-02-20;000001;20000001;40000000;0;99999;5.0000
FGPWGRUPO4$;P;2025-02-20;000001;20000001;40000000;0;24;10.5000
FGPWGRUPO5$;P;2025-02-20;000001;20000001;40000000;37;99999;10.0000
DSCTFGPG2$W;%;2025-02-20;000001;20000001;40000000;0;99999;10.0000
FGPWGRUPO2$;P;2025-02-20;000001;40000001;80000000;25;36;9.1000
FGPWGRUPO5$;P;2025-02-20;000001;80000001;198000000;37;99999;10.0000
FGPWGRUPO5$;P;2025-02-20;000001;0;5500000;25;36;10.1000
FGPWGRUPO3$;P;2025-02-20;000001;5500001;20000000;37;99999;9.1000
DSCTFGPG2$W;%;2025-02-20;000001;0;5500000;0;99999;10.0000
FGPWGRUPO1$;P;2025-02-20;100621;80000001;198000000;0;24;9.5000
FGPWGRUPO8$;P;2025-02-20;000001;500000001;99999999999;25;36;5.0000
FGPWGRUPO5$;P;2025-02-20;000001;40000001;80000000;0;24;10.6000
FGPWGRUPO5$;P;2025-02-20;000001;40000001;80000000;25;36;10.1000
FGPWGRUPO4$;P;2025-02-20;000001;500000001;99999999999;0;24;5.0000
DSCTFGPG8$W;%;2025-02-20;000001;198000001;99999999999;0;99999;3.0000
FGPWGRUPO6$;P;2025-02-20;000001;40000001;80000000;25;36;10.7000
FGPWGRUPO2$;P;2025-02-20;000001;500000001;99999999999;0;24;5.0000
FGPWGRUPO1$;P;2025-02-20;100621;20000001;40000000;37;99999;8.9000
FGPWGRUPO4$;P;2025-02-20;000001;40000001;80000000;37;99999;9.9000
FGPWGRUPO3$;P;2025-02-20;000001;40000001;80000000;0;24;9.7000
FGPWGRUPO6$;P;2025-02-20;000001;198000001;500000000;25;36;5.0000
FGPWGRUPO3$;P;2025-02-20;000001;20000001;40000000;0;24;9.7000
DSCTFGPG4$W;%;2025-02-20;000001;20000001;40000000;0;99999;10.0000
FGPWGRUPO6$;P;2025-02-20;000001;80000001;198000000;25;36;10.7000
FGPWGRUPO6$;P;2025-02-20;000001;40000001;80000000;0;24;11.2000
FGPWGRUPO2$;P;2025-02-20;000001;5500001;20000000;37;99999;9.0000
FGPWGRUPO5$;P;2025-02-20;000001;500000001;99999999999;0;24;5.0000
FGPWGRUPO1$;P;2025-02-20;100621;40000001;80000000;37;99999;8.9000
FGPWGRUPO6$;P;2025-02-20;000001;5500001;20000000;37;99999;10.6000
DSCTFGPG1$W;%;2025-02-20;000001;0;5500000;0;99999;10.0000
FGPWGRUPO4$;P;2025-02-20;000001;5500001;20000000;37;99999;9.9000
FGPWGRUPO5$;P;2025-02-20;000001;40000001;80000000;37;99999;10.0000
FGPWGRUPO8$;P;2025-02-20;000001;20000001;40000000;25;36;16.2000
DSCTFGPG1$W;%;2025-02-20;000001;40000001;80000000;0;99999;10.0000
DSCTFGPG7$W;%;2025-02-20;000001;40000001;80000000;0;99999;5.0000
DSCTFGPG1$W;%;2025-02-20;000001;5500001;20000000;0;99999;10.0000
DSCTFGPG1$W;%;2025-02-20;000001;80000001;198000000;0;99999;10.0000
DSCTFGPG3$W;%;2025-02-20;000001;5500001;20000000;0;99999;10.0000
FGPWGRUPO3$;P;2025-02-20;000001;20000001;40000000;37;99999;9.1000
FGPWGRUPO8$;P;2025-02-20;000001;0;5500000;37;99999;16.1000
FGPWGRUPO7$;P;2025-02-20;000001;80000001;198000000;25;36;13.2000
FGPWGRUPO8$;P;2025-02-20;000001;198000001;500000000;25;36;5.0000
FGPWGRUPO3$;P;2025-02-20;000001;500000001;99999999999;25;36;5.0000
FGPWGRUPO7$;P;2025-02-20;000001;40000001;80000000;25;36;13.2000
DSCTFGPG5$W;%;2025-02-20;000001;0;5500000;0;99999;5.0000
FGPWGRUPO6$;P;2025-02-20;000001;20000001;40000000;0;24;11.2000
FGPWGRUPO2$;P;2025-02-20;000001;500000001;99999999999;37;99999;5.0000
FGPWGRUPO1$;P;2025-02-20;100621;198000001;500000000;0;24;5.0000
FGPWGRUPO2$;P;2025-02-20;000001;198000001;500000000;37;99999;5.0000
FGPWGRUPO3$;P;2025-02-20;000001;5500001;20000000;0;24;9.7000
FGPWGRUPO6$;P;2025-02-20;000001;5500001;20000000;25;36;10.7000
DSCTFGPG4$W;%;2025-02-20;000001;80000001;198000000;0;99999;10.0000
FGPWGRUPO3$;P;2025-02-20;000001;500000001;99999999999;37;99999;5.0000
DSCTFGPG3$W;%;2025-02-20;000001;20000001;40000000;0;99999;10.0000
FGPWGRUPO2$;P;2025-02-20;000001;0;5500000;37;99999;9.0000
DSCTFGPG8$W;%;2025-02-20;000001;80000001;198000000;0;99999;5.0000
FGPWGRUPO4$;P;2025-02-20;000001;80000001;198000000;0;24;10.5000
FGPWGRUPO2$;P;2025-02-20;000001;500000001;99999999999;25;36;5.0000
FGPWGRUPO1$;P;2025-02-20;100621;500000001;99999999999;0;24;5.0000
FGPWGRUPO5$;P;2025-02-20;000001;80000001;198000000;25;36;10.1000
FGPWGRUPO7$;P;2025-02-20;000001;20000001;40000000;0;24;13.7000
DSCTFGPG8$W;%;2025-02-20;000001;5500001;20000000;0;99999;5.0000
DSCTFGPG6$W;%;2025-02-20;000001;80000001;198000000;0;99999;5.0000
FGPWGRUPO6$;P;2025-02-20;000001;20000001;40000000;25;36;10.7000
DSCTFGPG6$W;%;2025-02-20;000001;0;5500000;0;99999;5.0000
FGPWGRUPO8$;P;2025-02-20;000001;40000001;80000000;25;36;16.2000
FGPWGRUPO7$;P;2025-02-20;000001;198000001;500000000;25;36;5.0000
FGPWGRUPO3$;P;2025-02-20;000001;80000001;198000000;37;99999;9.1000
DSCTFGPG5$W;%;2025-02-20;000001;198000001;99999999999;0;99999;3.0000
FGPWGRUPO3$;P;2025-02-20;000001;0;5500000;0;24;9.7000
FGPWGRUPO5$;P;2025-02-20;000001;80000001;198000000;0;24;10.6000
FGPWGRUPO4$;P;2025-02-20;000001;0;5500000;0;24;10.5000
FGPWGRUPO1$;P;2025-02-20;100621;198000001;500000000;37;99999;5.0000
DSCTFGPG4$W;%;2025-02-20;000001;0;5500000;0;99999;10.0000
FGPWGRUPO7$;P;2025-02-20;000001;80000001;198000000;0;24;13.7000
FGPWGRUPO5$;P;2025-02-20;000001;198000001;500000000;0;24;5.0000
